date,sum_e1,sum_e2,sum_r1,sum_r2,sum_web,sum_whol,yr_total
1/1/2020,0,0,0,0,57638.68195,0,57638.68195
2/1/2020,6399.6099,0,0,0,198997.7698,0,205397.3797
3/1/2020,47858.92515,0,0,0,249314.5134,0,297173.4386
4/1/2020,55976.39515,0,0,0,262078.0589,0,318054.4541
5/1/2020,74728.96015,0,0,0,279447.0179,0,354175.9781
6/1/2020,63195.33315,9.995,0,0,303714.429,0,366919.7572
7/1/2020,72015.4347,434.87,23915.16,0,377946,2224.37025,476535.835
8/1/2020,79302.3625,877.26,38407.14,0,303178.4731,9589.63,431354.8656
9/1/2020,96319.50015,899.77,0,0,303486.8291,64054.4905,464760.5898
10/1/2020,104261.5551,1082.225,0,0,405990.157,0,511333.9371
11/1/2020,114146.7656,1231.15,0,0,287184.1638,20008.99,422571.0694
12/1/2020,112823.7652,885.945,72369.48,1510.68,297121.1635,39081.99,523793.0237
1/1/2021,112024.3801,1274.89,75636.78,4708.88,300077.7289,6741,500463.659
2/1/2021,143385.4555,1177.87,37811.82,5000.5,310143.0788,4640.49,502159.2143
3/1/2021,157316.1451,1304.705,158650.86,3383.25,367084.1779,60282.485,748021.623
4/1/2021,144442.2906,997.255,102177,2620,433477.6882,12038.4,695752.6338
5/1/2021,185021.7707,1582.085,90264,1791.5,444751.3734,40162.5,763573.2291
6/1/2021,150527.285,1269.67,112365,1485,373591.5377,11324.885,650563.3777
7/1/2021,177339.6506,1369.655,109980,0,385881.4481,16.49,674587.2437
8/1/2021,221210.3856,877.28,105657,1307.25,303770.695,0,632822.6106
9/1/2021,233720.5,949.75,206107,1901.5,377802.326,0,820481.076
10/1/2021,261047.34,1144.695,71466,1614,567224.4168,0,902496.4518
11/1/2021,270203.945,1299.71,166635.75,1101.5,500203.0073,16910.18,956354.0923
12/1/2021,304572.84,542.415,99362.975,1786.25,390111.8431,9.995,796386.3181
