country,year,date,sum_net_sales
United States,2020,2020-11-01,387287.264999985
United States,2020,2020-08-01,363185.314999988
United States,2020,2020-10-01,290509.034999995
United States,2020,2020-07-01,288749.204999994
United States,2020,2020-09-01,287141.319999995
United States,2020,2020-02-01,284979.704999998
United States,2020,2020-12-01,274340.304999996
United States,2020,2020-06-01,267426.714999998
United States,2020,2020-05-01,248121.25
United States,2020,2020-04-01,236242.255000001
United States,2020,2020-01-01,232156.864999989
United States,2020,2020-03-01,192253.144999994
United States,2021,2021-11-01,541283.66499996
United States,2021,2021-12-01,475586.939999968
United States,2021,2021-06-01,424901.969999971
United States,2021,2021-05-01,415462.749999977
United States,2021,2021-08-01,363201.579999985
United States,2021,2021-10-01,358605.434999981
United States,2021,2021-07-01,353305.664999984
United States,2021,2021-04-01,350620.164999984
United States,2021,2021-03-01,295085.719999992
United States,2021,2021-02-01,289389.479999994
United States,2021,2021-09-01,288972.924999993
United States,2021,2021-01-01,282755.764999995
