channel,month,product_grouping,product_quantity,sales
E-commerce 1,2021-12-01,11133,16887,168225.83499996
E-commerce 1,2021-12-01,11127,10955,109175.384999988
Website,2021-12-01,11113,2403,68847.4897999998
Website,2021-12-01,11137,1892,50905.5550000005
Retailer 1,2021-12-01,11135,8316,45738
Website,2021-12-01,11127,3583,44648.3445500006
Website,2021-12-01,11135,3076,35965.2198500001
Retailer 1,2021-12-01,11127,5718,32208
Website,2021-12-01,11118,922,27943.1699999998
Website,2021-12-01,11119,2453,24019.1100999999
Website,2021-12-01,11130,2169,22892.2650499998
E-commerce 1,2021-12-01,11119,1707,17061.4650000004
Website,2021-12-01,11133,2134,15928.2649500002
Website,2021-12-01,11124,1951,13842.3399500002
Website,2021-12-01,11136,1511,12504.6599000002
Website,2021-12-01,11120,3081,11239.6393500005
Retailer 1,2021-12-01,11123,720,9360
Website,2021-12-01,11131,178,8259.53499999999
Website,2021-12-01,11125,1052,8259.30994999997
Website,2021-12-01,11129,327,7669.74
Website,2021-12-01,11140,1649,5754.55014999992
Website,2021-12-01,11143,556,5704.80984999997
Website,2021-12-01,11132,895,5635.81494999997
Retailer 1,2021-12-01,11133,708,4248
Retailer 1,2021-12-01,11130,726,3993
E-commerce 1,2021-12-01,11125,365,3648.17499999998
Website,2021-12-01,11112,216,3458.59499999999
Website,2021-12-01,11147,441,3326.49999999998
E-commerce 1,2021-12-01,11124,248,3098.75999999998
E-commerce 1,2021-12-01,11128,278,2978.32999999998
Website,2021-12-01,11145,560,2844.30469999999
Website,2021-12-01,11142,381,2212.40499999999
Website,2021-12-01,11123,126,1575
Website,2021-12-01,11128,195,1526.81
Website,2021-12-01,11116,373,1421.125
Retailer 1,2021-12-01,11136,312,1365
Retailer 1,2021-12-01,11132,293,1281.875
Retailer 2,2021-12-01,11123,89,1157
Retailer 1,2021-12-01,11124,156,1013.22
Website,2021-12-01,11115,51,752.615
Website,2021-12-01,11146,140,681.635000000001
Website,2021-12-01,11134,114,681.58
Website,2021-12-01,11144,58,540.23
Retailer 2,2021-12-01,11127,96,528
Website,2021-12-01,11141,600,518.310000000001
E-commerce 2,2021-12-01,11113,13,422.45
E-commerce 1,2021-12-01,11112,22,384.89
Website,2021-12-01,11117,51,277.32
Retailer 1,2021-12-01,11128,24,155.88
Website,2021-12-01,11114,481,124.675
Retailer 2,2021-12-01,11124,15,101.25
Website,2021-12-01,11111,11,58.455
Website,2021-12-01,11126,6,57.47
Website,2021-12-01,11138,1,34.995
E-commerce 2,2021-12-01,11130,2,32.49
E-commerce 2,2021-12-01,11127,2,32.49
E-commerce 2,2021-12-01,11135,2,32.49
E-commerce 2,2021-12-01,11125,1,22.495
Wholesale,2021-12-01,11135,1345,9.995
Wholesale,2021-12-01,11125,120,0
Wholesale,2021-12-01,11119,1086,0
Wholesale,2021-12-01,11120,400,0
Wholesale,2021-12-01,11124,432,0
Wholesale,2021-12-01,11146,20,0
Wholesale,2021-12-01,11127,1758,0
Wholesale,2021-12-01,11128,600,0
Wholesale,2021-12-01,11130,894,0
Wholesale,2021-12-01,11133,960,0
Wholesale,2021-12-01,11142,20,0
Wholesale,2021-12-01,11143,20,0
Wholesale,2021-12-01,11144,20,0
Wholesale,2021-12-01,11145,20,0
Wholesale,2021-12-01,11136,4,0
Wholesale,2021-12-01,11137,200,0
E-commerce 1,2021-11-01,11133,15849,157791.059999964
Website,2021-11-01,11137,5362,144513.289999995
E-commerce 1,2021-11-01,11127,9091,90624.6650000032
Website,2021-11-01,11113,2544,70696.5101000008
Retailer 1,2021-11-01,11127,10794,64680
Retailer 1,2021-11-01,11135,10722,58971
Website,2021-11-01,11127,3970,47156.334650001
Website,2021-11-01,11135,3797,40397.5498000002
Website,2021-11-01,11118,924,27547.8850000002
Website,2021-11-01,11119,2578,24298.4949000002
Website,2021-11-01,11130,2133,22102.65965
Retailer 1,2021-11-01,11123,1452,18876
Website,2021-11-01,11124,1323,17562.1649500002
Website,2021-11-01,11133,2231,16975.2749500003
Website,2021-11-01,11136,1726,14201.3499500002
Retailer 1,2021-11-01,11133,2352,14112
E-commerce 1,2021-11-01,11119,1354,13533.2300000004
Website,2021-11-01,11131,251,11572.565
Wholesale,2021-11-01,11127,2286,11431.2
Website,2021-11-01,11120,4222,11282.5441500001
Website,2021-11-01,11125,1284,10261.31475
Website,2021-11-01,11129,361,8072.90995
Website,2021-11-01,11132,1093,7328.26994999995
Website,2021-11-01,11143,514,5316.52989999998
Retailer 1,2021-11-01,11130,744,4092
Wholesale,2021-11-01,11135,813,4073.4
E-commerce 1,2021-11-01,11125,369,3688.15499999997
Website,2021-11-01,11112,228,3596.73999999999
Website,2021-11-01,11140,841,3201.75989999996
Website,2021-11-01,11145,558,2759.06989999999
E-commerce 1,2021-11-01,11124,198,2474.00999999999
Retailer 1,2021-11-01,11136,528,2310
Retailer 1,2021-11-01,11132,498,2178.75
Website,2021-11-01,11147,220,1758.545
Website,2021-11-01,11128,199,1744.245
E-commerce 1,2021-11-01,11128,160,1725.43
Website,2021-11-01,11142,296,1724.7899
Website,2021-11-01,11123,109,1341
Retailer 1,2021-11-01,11124,204,1224
Website,2021-11-01,11116,640,1120.78495
Website,2021-11-01,11111,190,999.355
Website,2021-11-01,11134,163,977.37
Wholesale,2021-11-01,11124,144,937.44
Website,2021-11-01,11146,181,894.395000000001
E-commerce 2,2021-11-01,11113,31,872.36
Retailer 2,2021-11-01,11123,50,650
Wholesale,2021-11-01,11130,92,468.14
E-commerce 1,2021-11-01,11112,21,367.395
Retailer 2,2021-11-01,11127,60,330
Website,2021-11-01,11144,39,321.84
Retailer 1,2021-11-01,11128,36,192
Website,2021-11-01,11141,269,166.605
Website,2021-11-01,11114,723,141.885
Retailer 2,2021-11-01,11124,18,121.5
E-commerce 2,2021-11-01,11135,7,119.965
E-commerce 2,2021-11-01,11127,9,114.955
E-commerce 2,2021-11-01,11119,5,87.475
E-commerce 2,2021-11-01,11130,6,72.47
Website,2021-11-01,11148,224,68.51
