channel,year,date,sum_net_sales,sum_sales_by_month,tot_sales
Website,2020,1/1/2020,57638.68195,57638.68195,57638.68195
E-commerce 1,2020,2/1/2020,6399.6099,,205397.3797
Website,2020,2/1/2020,198997.7698,205397.3797,205397.3797
E-commerce 1,2020,3/1/2020,47858.92515,,297173.4386
Website,2020,3/1/2020,249314.5134,297173.4386,297173.4386
E-commerce 1,2020,4/1/2020,55976.39515,,318054.4541
Website,2020,4/1/2020,262078.0589,318054.4541,318054.4541
E-commerce 1,2020,5/1/2020,74728.96015,,354175.978
Website,2020,5/1/2020,279447.0179,354175.978,354175.978
E-commerce 1,2020,6/1/2020,63195.33315,,366919.7572
E-commerce 2,2020,6/1/2020,9.995,,366919.7572
Website,2020,6/1/2020,303714.429,,366919.7572
Wholesale,2020,6/1/2020,0,366919.7572,366919.7572
E-commerce 1,2020,7/1/2020,72015.4347,,476535.835
E-commerce 2,2020,7/1/2020,434.87,,476535.835
Retailer 1,2020,7/1/2020,23915.16,,476535.835
Website,2020,7/1/2020,377946,,476535.835
Wholesale,2020,7/1/2020,2224.37025,476535.835,476535.835
E-commerce 1,2020,8/1/2020,79302.3625,,431354.8656
E-commerce 2,2020,8/1/2020,877.26,,431354.8656
Retailer 1,2020,8/1/2020,38407.14,,431354.8656
Website,2020,8/1/2020,303178.4731,,431354.8656
Wholesale,2020,8/1/2020,9589.63,431354.8656,431354.8656
E-commerce 1,2020,9/1/2020,96319.50015,,464760.5897
E-commerce 2,2020,9/1/2020,899.77,,464760.5897
Website,2020,9/1/2020,303486.8291,,464760.5897
Wholesale,2020,9/1/2020,64054.4905,464760.5897,464760.5897
E-commerce 1,2020,10/1/2020,104261.5551,,511333.9371
E-commerce 2,2020,10/1/2020,1082.225,,511333.9371
Website,2020,10/1/2020,405990.157,,511333.9371
Wholesale,2020,10/1/2020,0,511333.9371,511333.9371
E-commerce 1,2020,11/1/2020,114146.7656,,422571.0694
E-commerce 2,2020,11/1/2020,1231.15,,422571.0694
Website,2020,11/1/2020,287184.1638,,422571.0694
Wholesale,2020,11/1/2020,20008.99,422571.0694,422571.0694
E-commerce 1,2020,12/1/2020,112823.7652,,523793.0238
E-commerce 2,2020,12/1/2020,885.945,,523793.0238
Retailer 1,2020,12/1/2020,72369.48,,523793.0238
Retailer 2,2020,12/1/2020,1510.68,,523793.0238
Website,2020,12/1/2020,297121.1635,,523793.0238
Wholesale,2020,12/1/2020,39081.99,523793.0238,523793.0238
E-commerce 1,2021,1/1/2021,112024.3801,,500463.6591
E-commerce 2,2021,1/1/2021,1274.89,,500463.6591
Retailer 1,2021,1/1/2021,75636.78,,500463.6591
Retailer 2,2021,1/1/2021,4708.88,,500463.6591
Website,2021,1/1/2021,300077.7289,,500463.6591
Wholesale,2021,1/1/2021,6741,500463.6591,500463.6591
E-commerce 1,2021,2/1/2021,143385.4555,,502159.2143
E-commerce 2,2021,2/1/2021,1177.87,,502159.2143
Retailer 1,2021,2/1/2021,37811.82,,502159.2143
Retailer 2,2021,2/1/2021,5000.5,,502159.2143
Website,2021,2/1/2021,310143.0788,,502159.2143
Wholesale,2021,2/1/2021,4640.49,502159.2143,502159.2143
E-commerce 1,2021,3/1/2021,157316.1451,,748021.6229
E-commerce 2,2021,3/1/2021,1304.705,,748021.6229
Retailer 1,2021,3/1/2021,158650.86,,748021.6229
Retailer 2,2021,3/1/2021,3383.25,,748021.6229
Website,2021,3/1/2021,367084.1779,,748021.6229
Wholesale,2021,3/1/2021,60282.485,748021.6229,748021.6229
E-commerce 1,2021,4/1/2021,144442.2906,,695752.6338
E-commerce 2,2021,4/1/2021,997.255,,695752.6338
Retailer 1,2021,4/1/2021,102177,,695752.6338
Retailer 2,2021,4/1/2021,2620,,695752.6338
Website,2021,4/1/2021,433477.6882,,695752.6338
Wholesale,2021,4/1/2021,12038.4,695752.6338,695752.6338
E-commerce 1,2021,5/1/2021,185021.7707,,763573.2291
E-commerce 2,2021,5/1/2021,1582.085,,763573.2291
Retailer 1,2021,5/1/2021,90264,,763573.2291
Retailer 2,2021,5/1/2021,1791.5,,763573.2291
Website,2021,5/1/2021,444751.3734,,763573.2291
