year,date,sku,product_title,qty_tot,sum_net_sales
2020,2020-11-01,6666,Thyroid Complex,13745,124331.584949986
2020,2020-12-01,6666,Thyroid Complex,12332,114910.430150011
2020,2020-12-01,3333,Fruits and Greens 30 capsules,11386,68641.9346499998
2020,2020-10-01,6666,Thyroid Complex,11203,103952.360299998
2020,2020-09-01,6666,Thyroid Complex,10323,96390.8301499995
2020,2020-07-01,6666,Thyroid Complex,9591,85024.7598500053
2020,2020-08-01,6666,Thyroid Complex,9188,85505.5352000018
2020,2020-05-01,6666,Thyroid Complex,8052,77958.1452000039
2020,2020-08-01,3333,Fruits and Greens 30 capsules,7911,49284.9031000004
2020,2020-06-01,6666,Thyroid Complex,7365,69631.2956500056
2020,2020-04-01,6666,Thyroid Complex,6321,59599.6450500038
2020,2020-12-01,8888,Bronchial Wellness Herbal Blend 30 capsules,6116,35174.9396000004
2020,2020-03-01,6666,Thyroid Complex,5533,52636.0601000025
2020,2020-09-01,3333,Fruits and Greens 30 capsules,5189,38521.3696499999
2020,2020-10-01,3333,Fruits and Greens 30 capsules,4805,36404.1647500006
2020,2020-07-01,3333,Fruits and Greens 30 capsules,4719,32080.9738500003
2020,2020-11-01,3333,Fruits and Greens 30 capsules,4266,33179.2102999998
2020,2020-08-01,8888,Bronchial Wellness Herbal Blend 30 capsules,3648,23093.5050000001
2020,2020-10-01,8888,Bronchial Wellness Herbal Blend 30 capsules,3590,24503.1808499999
2020,2020-07-01,1133,Vitamin D3 1000mg,3376,74491.5845500001
2020,2020-10-01,1133,Vitamin D3 1000mg,3306,72643.4648500002
2020,2020-07-01,8888,Bronchial Wellness Herbal Blend 30 capsules,3274,20591.2394000001
2020,2020-12-01,9999,Turmeric Joint 30 capsules,3224,16517.45485
2020,2020-11-01,8888,Bronchial Wellness Herbal Blend 30 capsules,3194,21817.5746000003
2020,2020-03-01,3333,Fruits and Greens 30 capsules,3143,25102.2846
2020,2020-05-01,3333,Fruits and Greens 30 capsules,3133,24464.8294500001
2020,2020-04-01,3333,Fruits and Greens 30 capsules,3125,24033.7547999996
2020,2020-09-01,8888,Bronchial Wellness Herbal Blend 30 capsules,2976,18306.0803500002
2020,2020-06-01,3333,Fruits and Greens 30 capsules,2818,20275.2797000001
2020,2020-06-01,8888,Bronchial Wellness Herbal Blend 30 capsules,2816,19752.9148500001
2020,2020-04-01,8888,Bronchial Wellness Herbal Blend 30 capsules,2780,20743.0601500002
2020,2020-05-01,8888,Bronchial Wellness Herbal Blend 30 capsules,2738,20608.9644000001
2020,2020-07-01,5555,Fruits and Greens 60 capsules,2710,42484.4692500001
2020,2020-08-01,1133,Vitamin D3 1000mg,2678,62647.9498999998
2020,2020-09-01,1133,Vitamin D3 1000mg,2549,58378.7248999997
2020,2020-12-01,1010,Prenatal DHA 60 capsules,2507,13445.5948999999
2020,2020-12-01,1113,Bronchial Wellness Herbal Blend 60 capsules,2505,35692.4950000002
2020,2020-08-01,9999,Turmeric Joint 30 capsules,2432,13993.1498499999
2020,2020-06-01,1133,Vitamin D3 1000mg,2431,56473.5549499998
2020,2020-02-01,3333,Fruits and Greens 30 capsules,2430,18710.0299999999
2020,2020-04-01,1133,Vitamin D3 1000mg,2419,55104.4298500009
2020,2020-03-01,1133,Vitamin D3 1000mg,2342,54422.1749000003
2020,2020-03-01,8888,Bronchial Wellness Herbal Blend 30 capsules,2339,17715.8697999999
2020,2020-10-01,5555,Fruits and Greens 60 capsules,2288,37408.7441499999
2020,2020-09-01,1010,Prenatal DHA 60 capsules,2236,11569.4499999999
2020,2020-05-01,1133,Vitamin D3 1000mg,2235,51935.3449000008
2020,2020-12-01,5555,Fruits and Greens 60 capsules,2218,35757.8850000001
2020,2020-10-01,1113,Bronchial Wellness Herbal Blend 60 capsules,2193,35584.2987499998
2020,2020-11-01,1133,Vitamin D3 1000mg,2155,50065.3849999998
