product_sku,date,country,api_client_title,product_grouping,product_title,category,net_sales,shipping,taxes,total_sales
1124,2022-01-01,United States,Online Store,11137,Elderberry Gels 30 qty,Immune and Digestive health,47278.5800000005,0,2586.37999999999,49864.9600000003
1133,2022-01-01,United States,Online Store,11113,Vitamin D3 1000mg,General Health,32170.4649999998,0,1288.22,33458.685
5555,2022-01-01,United States,Online Store,11127,Fruits and Greens 60 capsules,General Health,21832.78,0,971.420000000001,22804.2
1113,2022-01-01,United States,Online Store,11135,Bronchial Wellness Herbal Blend 60 capsules,General Health,17973.0900000001,0,751.555000000001,18724.645
1139,2022-01-01,United States,Online Store,11118,Vitamin D3 Plus K2 60 capsules,General Health,15532.0950000001,0,639.795,16171.8900000001
1140,2022-01-01,United States,Online Store,11113,Vitamin D3 5000mg,General Health,12220.805,0,517.04,12737.845
1119,2022-01-01,United States,Online Store,11130,Turmeric Joint 180 capsules,General Health,11573.4100000001,0,510.08,12083.49
6666,2022-01-01,United States,Online Store,11133,Thyroid Complex,General Health,11089.1150000001,0,447.03,11536.1450000001
1114,2022-01-01,United States,Online Store,11119,Prenatal DHA 180 capsules,General Health,11068.56,0,452.75,11521.31
1150,2022-01-01,United States,Online Store,11118,Vitamin D3 Plus K2 180 capsules,General Health,10406.05,0,504.095,10910.145
1146,2022-01-01,United States,Online Store,11113,Vitamin D3 Pro 1000mg,General Health,9886.09000000002,0,371.475,10257.565
1115,2022-01-01,United States,Online Store,11120,Hair/Skin/Nails Ultra 60 capsules,Immune and Digestive health,8204.46499999995,0,453.155,8657.62
3333,2022-01-01,United States,Online Store,11127,Fruits and Greens 30 capsules,General Health,7646.84999999994,0,305.845,7952.69499999998
1154,2022-01-01,United States,Online Store,11131,New you bundle,General Health,7437.09999999999,0,320.195,7757.29499999999
8888,2022-01-01,United States,Online Store,11135,Bronchial Wellness Herbal Blend 30 capsules,General Health,6775.71999999995,0,256.45,7032.16999999998
1117,2022-01-01,United States,Online Store,11136,Allereze Nasal Spray 2oz,Allergy Aids,6650.44999999997,0,355.78,7006.22999999999
1160,2022-01-01,United States,Online Store,11113,Vitamin D3 Pro 5000mg,General Health,6411.09,0,253.97,6665.06
1123,2022-01-01,United States,Online Store,11124,Glucosamine Chondroitin 180 capsules,Joint Health,5638.45999999998,0,241.16,5879.61999999999
1137,2022-01-01,United States,Online Store,11140,Phosphatidylserine,Immune and Digestive health,5589.43499999992,0,315.510000000001,5904.945
5555,2022-01-01,United States,Recurring Billing by Recharge,11127,Fruits and Greens 60 capsules,General Health,5548.93999999998,0,242.46,5791.39999999999
1145,2022-01-01,United States,Online Store,11143,Zinc Tablets 50 mg 60 count,Immune and Digestive health,5130.28499999998,0,282.11,5412.395
1010,2022-01-01,United States,Online Store,11119,Prenatal DHA 60 capsules,General Health,5090.57999999997,0,209.265,5299.84499999999
9999,2022-01-01,United States,Online Store,11130,Turmeric Joint 30 capsules,General Health,4738.94499999997,0,199.155,4938.09999999998
1120,2022-01-01,United States,Online Store,11124,Glucosamine Chondroitin 60 capsules,Joint Health,4584.69999999998,0,183.12,4767.81999999998
1127,2022-01-01,United States,Online Store,11136,Allereze Nasal Spray 4oz,Allergy Aids,4414.17499999998,0,239.5,4653.67499999999
1158,2022-01-01,United States,Online Store,11129,Prenatal Pro 180 capsules,General Health,3862.195,0,170.82,4033.015
1113,2022-01-01,United States,Recurring Billing by Recharge,11135,Bronchial Wellness Herbal Blend 60 capsules,General Health,3745.32499999999,0,138.99,3884.31499999999
