product_sku,product_title,sum_orders,sum_net_sales
1155,Hair/Skin/Nails Ultra 180 capsules,248,29.075
1139,Vitamin D3 Plus K2 60 capsules,680,17900.495
1168,Elderberry Gels 180 qty,53,1527.59
1129,Zinc Sinus Nose Spray,403,84.15
1113,Bronchial Wellness Herbal Blend 60 capsules,1253,29050.145
1115,Hair/Skin/Nails Ultra 60 capsules,200,1331.09
4444,Co Q10 180 capsules,7,2.75
1174,ProOmega EPA/DHA  180 capsules,2,19.99
1151,Prenatal Pro 60 capsules,110,2190.65
1163,Elderberry Gels 60 qty,41,1308.89
1175,ProOmega EPA/DHA 30 capsules,1,8.495
1146,Vitamin D3 Pro 1000mg,334,8474.84499999999
1157,Zinc Tablets 50 mg 120 count,16,168.225
1162,Liquid Magnesium,102,10
1127,Allereze Nasal Spray 4oz,116,1667.28
1128,Co Q10 60 capsules,67,1006.475
1123,Glucosamine Chondroitin 180 capsules,595,12422.52
1126,Vitamin B12 180 capsules,450,7154.10499999999
1999,Shipping,0,3.59
1144,DHEA,95,558.4
1124,Elderberry Gels 30 qty,570,15608.81
1010,Prenatal DHA 60 capsules,984,7027.00999999998
1150,Vitamin D3 Plus K2 180 capsules,414,23221.535
1137,Phosphatidylserine,285,332.69
1143,Stress Management,51,315.65
1118,Co Q10 30 capsules,178,1435.475
1136,Pro DHA Memory 30 capsules,51,817.91
1120,Glucosamine Chondroitin 60 capsules,605,8273.46999999997
1141,Zinc Glycinate,13,143.43
1153,Evening Primrose Oil 4oz,9,48.065
1138,Probiotic 1500,185,121.395
1145,Zinc Tablets 50 mg 60 count,38,452.485
1117,Allereze Nasal Spray 2oz,191,1424.875
1148,Glucosamine MSM,153,2427.62
1140,Vitamin D3 5000mg,870,50099.03
1154,New you bundle,88,4139.69
1167,Choline,64,398.795
3333,Fruits and Greens 30 capsules,1296,14498.215
9999,Turmeric Joint 30 capsules,733,6244.93999999999
7777,Digestive Support Bundle,1,24.75
1112,Fruits and Greens 180 capsules,234,2710.57
1119,Turmeric Joint 180 capsules,717,13076.085
1130,Fish Oil,412,5037.14999999999
1166,Vitamin Tablet Organizer,775,155
1178,Vitamin C 60 capsules,1,7.495
6666,Thyroid Complex,1251,12667.8349999999
1134,Pro DHA Memory 180 capsules,20,335.03
1133,Vitamin D3 1000mg,2525,66430.8450000001
1170,Vitamin B12 30 capsules,60,0
1152,Amino Acid Complete,1261,229.77
1142,Immune Support,35,170.26
5555,Fruits and Greens 60 capsules,1562,39286.2350000001
1121,Hair/Skin/Nails Ultra 30 capsules,623,508.79
1131,Brain Boost,93,79.885
1135,Pro DHA Memory 60 capsules,12,183.695
1122,Vitamin B12 60 capsules,689,5429.67499999999
8888,Bronchial Wellness Herbal Blend 30 capsules,1071,11176.325
1160,Vitamin D3 Pro 5000mg,195,9761.755
1114,Prenatal DHA 180 capsules,920,15639.5
1158,Prenatal Pro 180 capsules,146,6079.775
1161,Evening Primrose Oil 2oz,19,128.93
