"channel","year","product_quantity","sales"
"Website",2021,396269,4754119.3215065105
"E-commerce 1",2021,236552,2360811.9881990384
"Retailer 1",2021,218721,1336114.1849999996
"Wholesale",2021,59602,152126.425
"Retailer 2",2021,3164,26699.63
"E-commerce 2",2021,713,13789.979999999945
"Website",2020,271003,3326097.257701023
"E-commerce 1",2020,82162,827028.6068497231
"Wholesale",2020,18270,134959.47075
"Retailer 1",2020,21294,134691.78000000003
"E-commerce 2",2020,297,5421.214999999984
"Retailer 2",2020,283,1510.68
