country,billing_city,billing_region,sum,latitude,longitude
United States,Santa Isabel,Puerto Rico,32.49,17.968056,-66.405278
United States,Guanica,Puerto Rico,5.495,17.973611,-66.908333
United States,Guayama,Puerto Rico,97.48,17.9856,-66.1307
United States,Patillas,Puerto Rico,9.995,18.008333,-66.013333
United States,Ponce,Puerto Rico,101.275,18.015556,-66.58
United States,Juana Diaz,Puerto Rico,153.44,18.054444,-66.506944
United States,Coto Laurel,Puerto Rico,125.295,18.0545,-66.5625
United States,Sabana Grande,Puerto Rico,9.995,18.079722,-66.960833
United States,Cabo Rojo,Puerto Rico,85.655,18.083611,-67.148889
United States,San German,Puerto Rico,135.98,18.083611,-67.045278
United States,Cayey,Puerto Rico,37.49,18.1134,-66.1521
United States,Humacao,Puerto Rico,173.205,18.1415,-65.8216
United States,Aibonito,Puerto Rico,94.99,18.141667,-66.265
United States,Las Piedras,Puerto Rico,32.235,18.183333,-65.863333
United States,San Lorenzo,Puerto Rico,147.25,18.191389,-65.961389
United States,Mayaguez,Puerto Rico,400.56,18.2011,-67.1172
United States,Orocovis,Puerto Rico,4.995,18.228889,-66.391389
United States,Juncos,Puerto Rico,126.625,18.229444,-65.921389
United States,Caguas,Puerto Rico,202.095,18.2297,-66.0458
United States,Ceiba,Puerto Rico,27.24,18.2531,-65.656
United States,Gurabo,Puerto Rico,90.995,18.255,-65.9775
United States,Utuado,Puerto Rico,29.745,18.2675,-66.700833
United States,Anasco,Puerto Rico,9.995,18.284722,-67.14
United States,Fajardo,Puerto Rico,32.495,18.330278,-65.657222
United States,San Sebastian,Puerto Rico,22.495,18.338611,-66.990556
United States,Rincon,Puerto Rico,24.995,18.34,-67.25
United States,Bayamon,Puerto Rico,195.185,18.3406,-66.1663
United States,Trujillo Alto,Puerto Rico,138.17,18.344,-66.0053
United States,Florida,Puerto Rico,87.475,18.364444,-66.561667
United States,Toa Alta,Puerto Rico,176.465,18.3664,-66.2333
United States,Luquillo,Puerto Rico,39.98,18.374444,-65.716944
United States,Rio Grande,Puerto Rico,34.99,18.379444,-65.838889
United States,Canovanas,Puerto Rico,57.5,18.379722,-65.906667
United States,Aguada,Puerto Rico,39.115,18.381389,-67.188611
United States,Moca,Puerto Rico,95.745,18.395,-67.163333
United States,Manati,Puerto Rico,52.485,18.425833,-66.471667
United States,Vieques,Puerto Rico,24.995,18.426389,-65.835556
United States,Guaynabo,Puerto Rico,889.05,18.4326,-66.1173
United States,Carolina,Puerto Rico,694.36,18.4353,-66.0143
United States,Vega Baja,Puerto Rico,47.49,18.4385,-66.3983
United States,Arecibo,Puerto Rico,116.47,18.4389,-66.6924
United States,Toa Baja,Puerto Rico,171.02,18.451944,-66.181944
United States,Barceloneta,Puerto Rico,94.225,18.4525,-66.538889
United States,Aguadilla,Puerto Rico,172.015,18.4554,-67.1308
United States,Garrochales,Puerto Rico,93.5,18.459722,-66.611389
United States,Dorado,Puerto Rico,448.88,18.464444,-66.270278
United States,San Juan,Puerto Rico,1597.925,18.4652,-66.1071
United States,Camuy,Puerto Rico,9.995,18.485833,-66.845278
United States,Hatillo,Puerto Rico,116.84,18.488333,-66.825833
